"";"genes"
"1";"C1orf86"
"2";"C1orf86"
"3";"MMEL1"
"4";"RPL22"
"5";"RPL22"
"6";"ZBTB48"
"7";"C1orf151"
"8";"C1orf151"
"9";"CAMK2N1"
"10";"CAMK2N1"
"11";"C1orf213"
"12";"C1orf213"
"13";"MDS2"
"14";"MDS2"
"15";"MEAF6"
"16";"MEAF6"
"17";"ORC1L"
"18";"ORC1L"
"19";"FUBP1"
"20";"FUBP1"
"21";"BRDT"
"22";"BRDT"
"23";"BRDT"
"24";"DNTTIP2"
"25";"SARS"
"26";"SARS"
"27";"SARS"
"28";"SARS"
"29";"SARS"
"30";"SARS"
"31";"SARS"
"32";"VTCN1"
"33";"VTCN1"
"34";"NRG2"
"35";"PEX11B"
"36";"ANKRD35"
"37";"NBPF15"
"38";"HIST2H2AA3"
"39";"HIST2H2AA3"
"40";"IQGAP3"
"41";"GPATCH4"
"42";"GPATCH4"
"43";"CD48"
"44";"CD48"
"45";"CD48"
"46";"RGS5"
"47";"FAM5B"
"48";"FAM5B"
"49";"TROVE2"
"50";"TROVE2"
"51";"TROVE2"
"52";"TROVE2"
"53";"TROVE2"
"54";"TROVE2"
"55";"NRG2"
"56";"HSD11B1"
"57";"HSD11B1"
"58";"GALNT2"
"59";"FAM89A"
"60";"KIF26B"
"61";"KIF26B"
"62";"KIF26B"
"63";"VIM"
"64";"VIM"
"65";"VIM"
"66";"VIM"
"67";"VIM"
"68";"VIM"
"69";"VIM"
"70";"VIM"
"71";"WAC"
"72";"WAC"
"73";"WAC"
"74";"WAC"
"75";"WAC"
"76";"EPC1"
"77";"EPC1"
"78";"EPC1"
"79";"EPC1"
"80";"GDF10"
"81";"PHYHIPL"
"82";"PHYHIPL"
"83";"PHYHIPL"
"84";"GIG18"
"85";"PCGF6"
"86";"PCGF6"
"87";"SMNDC1"
"88";"SMNDC1"
"89";"ST5"
"90";"ST5"
"91";"ST5"
"92";"ST5"
"93";"PTPN5"
"94";"PTPN5"
"95";"PTPN5"
"96";"PTPN5"
"97";"PTPN5"
"98";"IDH3GL"
"99";"IDH3GL"
"100";"KIAA0652"
"101";"KIAA0652"
"102";"KIAA0652"
"103";"KIAA0652"
"104";"PGA3"
"105";"PCNXL3"
"106";"PCNXL3"
"107";"KIAA1022"
"108";"GDPD5"
"109";"GDPD5"
"110";"GDPD5"
"111";"TMEM123"
"112";"C11orf52"
"113";"C11orf52"
"114";"C11orf57"
"115";"C11orf57"
"116";"C11orf57"
"117";"C11orf57"
"118";"C11orf57"
"119";"ST14"
"120";"CLEC4A"
"121";"CLEC4A"
"122";"CLEC4A"
"123";"CPNE8"
"124";"CPNE8"
"125";"YAF2"
"126";"YAF2"
"127";"YAF2"
"128";"RAPGEF3"
"129";"RAPGEF3"
"130";"RAPGEF3"
"131";"RAPGEF3"
"132";"RAPGEF3"
"133";"RAPGEF3"
"134";"TUBA1A"
"135";"TUBA1C"
"136";"TUBA1C"
"137";"SMAGP"
"138";"SMAGP"
"139";"SMAGP"
"140";"ATP5G2"
"141";"ATP5G2"
"142";"DKFZp686L23131"
"143";"RNF41"
"144";"RNF41"
"145";"RNF41"
"146";"RNF41"
"147";"C12orf50"
"148";"C12orf50"
"149";"USP44"
"150";"USP44"
"151";"HSP90B1"
"152";"VPS29"
"153";"VPS29"
"154";"VPS29"
"155";"VPS29"
"156";"SDS"
"157";"SDS"
"158";"POP5"
"159";"POP5"
"160";"MLXIP"
"161";"MLXIP"
"162";"MLXIP"
"163";"MLXIP"
"164";"GPR133"
"165";"GPR133"
"166";"KIAA0369"
"167";"CDADC1"
"168";"CDADC1"
"169";"CDADC1"
"170";"THSD1"
"171";"THSD1"
"172";"PCDH17"
"173";"C13orf34"
"174";"C13orf34"
"175";"BCL2L2"
"176";"BCL2L2"
"177";"PSME1"
"178";"PSME1"
"179";"ADCY4"
"180";"ADCY4"
"181";"ADCY4"
"182";"ADCY4"
"183";"ADCY4"
"184";"CFL2"
"185";"CFL2"
"186";"CFL2"
"187";"CFL2"
"188";"SSTR1"
"189";"C14orf104"
"190";"C14orf104"
"191";"SOS2"
"192";"SOS2"
"193";"MUDENG"
"194";"MUDENG"
"195";"C14orf149"
"196";"EXD2"
"197";"EXD2"
"198";"EXD2"
"199";"EXD2"
"200";"EXD2"
"201";"RGS6"
"202";"RGS6"
"203";"RGS6"
"204";"RGS6"
"205";"PROX2"
"206";"PROX2"
"207";"ASB2"
"208";"ASB2"
"209";"ASB2"
"210";"ASB2"
